Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
C1,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,10nf,
"C2, C5",C_Disc_D8.0mm_W5.0mm_P5.00mm,2,100uf,
C3,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,33uf,
C4,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,68uf,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_D5.0mm,10,LED,
"D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22",D_DO-15_P15.24mm_Horizontal,12,D,
J1,USB_A_Molex_67643_Horizontal,1,USB_A,
"Q1, Q2, Q3",TO-92L_Inline_Wide,3,NPN,
"Q5, Q6",TO-92L_Inline_Wide,2,PNP,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,9.5K,
"R2, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10K,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
SW1,SW_PUSH-12mm,1,START,
SW2,SW_PUSH-12mm,1,STOP,
U1,DIP-8_W7.62mm,1,ICM7555xB,
U2,DIP-16_W7.62mm,1,4017,
