Designator,Mid X,Mid Y,Rotation,Layer
BZ1,146.0,-68.8,270.0,top
C1,102.8,-65.9,90.0,top
C2,112.8,-56.8,0.0,top
C3,99.6,-90.6,180.0,top
C6,116.8,-84.6,180.0,top
D1,134.395,-93.4,0.0,top
D10,146.53,-57.4,0.0,top
D11,108.98,-78.0,180.0,top
D2,126.995,-85.4,0.0,top
D3,146.73,-98.2,0.0,top
D4,166.93,-85.2,0.0,top
D5,168.13,-72.2,0.0,top
D6,126.995,-71.8,0.0,top
D7,159.13,-94.8,0.0,top
D8,133.73,-62.0,0.0,top
D9,159.795,-62.0,0.0,top
J1,76.505,-77.5,270.0,top
Q1,90.19,-91.05,0.0,top
R1,104.79,-73.0,180.0,top
R2,116.0,-73.0,180.0,top
R3,132.6,-80.81,270.0,top
R4,105.8,-84.8,0.0,top
SW1,90.8,-77.0,0.0,top
U1,111.8,-65.605,270.0,top
U2,147.0,-81.195,90.0,top
